Name,Current Price,24h Change,Market Capitalization,Timestamp
Bitcoin,"$77,467.43",1.64%,"$1,551,076,244,634",2026-04-29 17:41:20
Ethereum,"$2,324.96",2.19%,"$280,595,274,017",2026-04-29 17:41:20
Tether,$0.9998,0.01%,"$189,662,123,265",2026-04-29 17:41:21
XRP,$1.38,0.51%,"$85,642,720,848",2026-04-29 17:41:21
BNB,$626.04,0.68%,"$84,381,770,190",2026-04-29 17:41:21
USDC,$0.9998,0.02%,"$77,549,695,492",2026-04-29 17:41:21
Solana,$84.61,1.43%,"$48,735,020,577",2026-04-29 17:41:21
TRON,$0.3231,0.19%,"$30,632,098,420",2026-04-29 17:41:21
Dogecoin,$0.1081,9.67%,"$16,663,031,600",2026-04-29 17:41:21
Hyperliquid,$40.27,0.50%,"$10,268,754,191",2026-04-29 17:41:22
